date,temple_id,temple_name,visitor_count,occupancy_percentage,crowd_level,day_of_week,is_weekend,is_holiday,festival_name,is_festival,weather,temperature,season,hourly_distribution,factors
2022-01-28,1,Somnath Temple,5599,100,high,Friday,False,False,None,False,Sunny,26,Winter,"{'4-6 AM': 671, '6-9 AM': -276, '9-12 PM': 1119, '12-4 PM': 447, '4-7 PM': 2239, '7-10 PM': 1399}","{'seasonal': 1.3, 'weekday': 1.2, 'festival': 1.0, 'weather': 1.0, 'holiday': 1.0, 'growth': 1.01}"
2022-01-29,1,Somnath Temple,6867,100,high,Saturday,True,False,None,False,Sunny,21,Winter,"{'4-6 AM': 824, '6-9 AM': -341, '9-12 PM': 1373, '12-4 PM': 549, '4-7 PM': 2746, '7-10 PM': 1716}","{'seasonal': 1.3, 'weekday': 1.4, 'festival': 1.0, 'weather': 1.0, 'holiday': 1.0, 'growth': 1.01}"
2022-01-30,1,Somnath Temple,6455,100,high,Sunday,True,False,None,False,Cloudy,21,Winter,"{'4-6 AM': 774, '6-9 AM': -321, '9-12 PM': 1291, '12-4 PM': 516, '4-7 PM': 2582, '7-10 PM': 1613}","{'seasonal': 1.3, 'weekday': 1.4, 'festival': 1.0, 'weather': 0.95, 'holiday': 1.0, 'growth': 1.01}"
2022-01-31,1,Somnath Temple,6339,100,high,Monday,False,False,None,False,Partly Cloudy,20,Winter,"{'4-6 AM': 760, '6-9 AM': -314, '9-12 PM': 1267, '12-4 PM': 507, '4-7 PM': 2535, '7-10 PM': 1584}","{'seasonal': 1.3, 'weekday': 1.3, 'festival': 1.0, 'weather': 1.05, 'holiday': 1.0, 'growth': 1.01}"
2022-02-01,1,Somnath Temple,3211,61,moderate,Tuesday,False,False,None,False,Light Rain,30,Winter,"{'4-6 AM': 385, '6-9 AM': -158, '9-12 PM': 642, '12-4 PM': 256, '4-7 PM': 1284, '7-10 PM': 802}","{'seasonal': 1.3, 'weekday': 0.85, 'festival': 1.0, 'weather': 0.8, 'holiday': 1.0, 'growth': 1.01}"
2022-02-02,1,Somnath Temple,1836,34,low,Wednesday,False,False,None,False,Heavy Rain,34,Winter,"{'4-6 AM': 220, '6-9 AM': -90, '9-12 PM': 367, '12-4 PM': 146, '4-7 PM': 734, '7-10 PM': 459}","{'seasonal': 1.3, 'weekday': 0.85, 'festival': 1.0, 'weather': 0.5, 'holiday': 1.0, 'growth': 1.01}"
2022-02-03,1,Somnath Temple,2008,38,low,Thursday,False,False,None,False,Heavy Rain,21,Winter,"{'4-6 AM': 240, '6-9 AM': -98, '9-12 PM': 401, '12-4 PM': 160, '4-7 PM': 803, '7-10 PM': 502}","{'seasonal': 1.3, 'weekday': 0.85, 'festival': 1.0, 'weather': 0.5, 'holiday': 1.0, 'growth': 1.01}"
2022-02-04,1,Somnath Temple,5383,100,high,Friday,False,False,None,False,Sunny,22,Winter,"{'4-6 AM': 645, '6-9 AM': -266, '9-12 PM': 1076, '12-4 PM': 430, '4-7 PM': 2153, '7-10 PM': 1345}","{'seasonal': 1.3, 'weekday': 1.2, 'festival': 1.0, 'weather': 1.0, 'holiday': 1.0, 'growth': 1.01}"
2022-02-05,1,Somnath Temple,6183,100,high,Saturday,True,False,None,False,Sunny,34,Winter,"{'4-6 AM': 741, '6-9 AM': -306, '9-12 PM': 1236, '12-4 PM': 494, '4-7 PM': 2473, '7-10 PM': 1545}","{'seasonal': 1.3, 'weekday': 1.4, 'festival': 1.0, 'weather': 1.0, 'holiday': 1.0, 'growth': 1.01}"
2022-02-06,1,Somnath Temple,7170,100,high,Sunday,True,False,None,False,Partly Cloudy,36,Winter,"{'4-6 AM': 860, '6-9 AM': -357, '9-12 PM': 1434, '12-4 PM': 573, '4-7 PM': 2868, '7-10 PM': 1792}","{'seasonal': 1.3, 'weekday': 1.4, 'festival': 1.0, 'weather': 1.05, 'holiday': 1.0, 'growth': 1.01}"
2022-02-07,1,Somnath Temple,5771,100,high,Monday,False,False,None,False,Sunny,20,Winter,"{'4-6 AM': 692, '6-9 AM': -286, '9-12 PM': 1154, '12-4 PM': 461, '4-7 PM': 2308, '7-10 PM': 1442}","{'seasonal': 1.3, 'weekday': 1.3, 'festival': 1.0, 'weather': 1.0, 'holiday': 1.0, 'growth': 1.01}"
2022-02-08,1,Somnath Temple,3855,73,moderate,Tuesday,False,False,None,False,Sunny,34,Winter,"{'4-6 AM': 462, '6-9 AM': -191, '9-12 PM': 771, '12-4 PM': 308, '4-7 PM': 1542, '7-10 PM': 963}","{'seasonal': 1.3, 'weekday': 0.85, 'festival': 1.0, 'weather': 1.0, 'holiday': 1.0, 'growth': 1.01}"
2022-02-09,1,Somnath Temple,3719,70,moderate,Wednesday,False,False,None,False,Partly Cloudy,22,Winter,"{'4-6 AM': 446, '6-9 AM': -183, '9-12 PM': 743, '12-4 PM': 297, '4-7 PM': 1487, '7-10 PM': 929}","{'seasonal': 1.3, 'weekday': 0.85, 'festival': 1.0, 'weather': 1.05, 'holiday': 1.0, 'growth': 1.01}"
2022-02-10,1,Somnath Temple,4059,77,high,Thursday,False,False,None,False,Partly Cloudy,20,Winter,"{'4-6 AM': 487, '6-9 AM': -200, '9-12 PM': 811, '12-4 PM': 324, '4-7 PM': 1623, '7-10 PM': 1014}","{'seasonal': 1.3, 'weekday': 0.85, 'festival': 1.0, 'weather': 1.05, 'holiday': 1.0, 'growth': 1.01}"
2022-02-11,1,Somnath Temple,5465,100,high,Friday,False,False,None,False,Cloudy,28,Winter,"{'4-6 AM': 655, '6-9 AM': -272, '9-12 PM': 1093, '12-4 PM': 437, '4-7 PM': 2186, '7-10 PM': 1366}","{'seasonal': 1.3, 'weekday': 1.2, 'festival': 1.0, 'weather': 0.95, 'holiday': 1.0, 'growth': 1.01}"
2022-02-12,1,Somnath Temple,6833,100,high,Saturday,True,False,None,False,Partly Cloudy,32,Winter,"{'4-6 AM': 819, '6-9 AM': -339, '9-12 PM': 1366, '12-4 PM': 546, '4-7 PM': 2733, '7-10 PM': 1708}","{'seasonal': 1.3, 'weekday': 1.4, 'festival': 1.0, 'weather': 1.05, 'holiday': 1.0, 'growth': 1.01}"
2022-02-13,1,Somnath Temple,6527,100,high,Sunday,True,False,None,False,Partly Cloudy,21,Winter,"{'4-6 AM': 783, '6-9 AM': -324, '9-12 PM': 1305, '12-4 PM': 522, '4-7 PM': 2610, '7-10 PM': 1631}","{'seasonal': 1.3, 'weekday': 1.4, 'festival': 1.0, 'weather': 1.05, 'holiday': 1.0, 'growth': 1.01}"
2022-02-14,1,Somnath Temple,5715,100,high,Monday,False,False,None,False,Cloudy,22,Winter,"{'4-6 AM': 685, '6-9 AM': -284, '9-12 PM': 1143, '12-4 PM': 457, '4-7 PM': 2286, '7-10 PM': 1428}","{'seasonal': 1.3, 'weekday': 1.3, 'festival': 1.0, 'weather': 0.95, 'holiday': 1.0, 'growth': 1.01}"
2022-02-15,1,Somnath Temple,3728,71,moderate,Tuesday,False,False,None,False,Sunny,31,Winter,"{'4-6 AM': 447, '6-9 AM': -185, '9-12 PM': 745, '12-4 PM': 298, '4-7 PM': 1491, '7-10 PM': 932}","{'seasonal': 1.3, 'weekday': 0.85, 'festival': 1.0, 'weather': 1.0, 'holiday': 1.0, 'growth': 1.01}"
2022-02-16,1,Somnath Temple,3545,67,moderate,Wednesday,False,False,None,False,Cloudy,26,Winter,"{'4-6 AM': 425, '6-9 AM': -176, '9-12 PM': 709, '12-4 PM': 283, '4-7 PM': 1418, '7-10 PM': 886}","{'seasonal': 1.3, 'weekday': 0.85, 'festival': 1.0, 'weather': 0.95, 'holiday': 1.0, 'growth': 1.01}"
2022-02-17,1,Somnath Temple,3979,75,high,Thursday,False,False,None,False,Sunny,20,Winter,"{'4-6 AM': 477, '6-9 AM': -196, '9-12 PM': 795, '12-4 PM': 318, '4-7 PM': 1591, '7-10 PM': 994}","{'seasonal': 1.3, 'weekday': 0.85, 'festival': 1.0, 'weather': 1.0, 'holiday': 1.0, 'growth': 1.01}"
2022-02-18,1,Somnath Temple,5808,100,high,Friday,False,False,None,False,Sunny,30,Winter,"{'4-6 AM': 696, '6-9 AM': -288, '9-12 PM': 1161, '12-4 PM': 464, '4-7 PM': 2323, '7-10 PM': 1452}","{'seasonal': 1.3, 'weekday': 1.2, 'festival': 1.0, 'weather': 1.0, 'holiday': 1.0, 'growth': 1.01}"
2022-02-19,1,Somnath Temple,6503,100,high,Saturday,True,False,None,False,Partly Cloudy,34,Winter,"{'4-6 AM': 780, '6-9 AM': -323, '9-12 PM': 1300, '12-4 PM': 520, '4-7 PM': 2601, '7-10 PM': 1625}","{'seasonal': 1.3, 'weekday': 1.4, 'festival': 1.0, 'weather': 1.05, 'holiday': 1.0, 'growth': 1.01}"
2022-02-20,1,Somnath Temple,7037,100,high,Sunday,True,False,None,False,Sunny,27,Winter,"{'4-6 AM': 844, '6-9 AM': -349, '9-12 PM': 1407, '12-4 PM': 562, '4-7 PM': 2814, '7-10 PM': 1759}","{'seasonal': 1.3, 'weekday': 1.4, 'festival': 1.0, 'weather': 1.0, 'holiday': 1.0, 'growth': 1.01}"
2022-02-21,1,Somnath Temple,6378,100,high,Monday,False,False,None,False,Partly Cloudy,36,Winter,"{'4-6 AM': 765, '6-9 AM': -317, '9-12 PM': 1275, '12-4 PM': 510, '4-7 PM': 2551, '7-10 PM': 1594}","{'seasonal': 1.3, 'weekday': 1.3, 'festival': 1.0, 'weather': 1.05, 'holiday': 1.0, 'growth': 1.01}"
2022-02-22,1,Somnath Temple,4382,83,high,Tuesday,False,False,None,False,Partly Cloudy,30,Winter,"{'4-6 AM': 525, '6-9 AM': -216, '9-12 PM': 876, '12-4 PM': 350, '4-7 PM': 1752, '7-10 PM': 1095}","{'seasonal': 1.3, 'weekday': 0.85, 'festival': 1.0, 'weather': 1.05, 'holiday': 1.0, 'growth': 1.01}"
2022-02-23,1,Somnath Temple,3426,65,moderate,Wednesday,False,False,None,False,Cloudy,32,Winter,"{'4-6 AM': 411, '6-9 AM': -170, '9-12 PM': 685, '12-4 PM': 274, '4-7 PM': 1370, '7-10 PM': 856}","{'seasonal': 1.3, 'weekday': 0.85, 'festival': 1.0, 'weather': 0.95, 'holiday': 1.0, 'growth': 1.01}"
2022-02-24,1,Somnath Temple,3585,68,moderate,Thursday,False,False,None,False,Sunny,28,Winter,"{'4-6 AM': 430, '6-9 AM': -178, '9-12 PM': 717, '12-4 PM': 286, '4-7 PM': 1434, '7-10 PM': 896}","{'seasonal': 1.3, 'weekday': 0.85, 'festival': 1.0, 'weather': 1.0, 'holiday': 1.0, 'growth': 1.01}"
2022-02-25,1,Somnath Temple,5632,100,high,Friday,False,False,None,False,Sunny,25,Winter,"{'4-6 AM': 675, '6-9 AM': -279, '9-12 PM': 1126, '12-4 PM': 450, '4-7 PM': 2252, '7-10 PM': 1408}","{'seasonal': 1.3, 'weekday': 1.2, 'festival': 1.0, 'weather': 1.0, 'holiday': 1.0, 'growth': 1.01}"
2022-02-26,1,Somnath Temple,7444,100,high,Saturday,True,False,None,False,Pleasant,23,Winter,"{'4-6 AM': 893, '6-9 AM': -370, '9-12 PM': 1488, '12-4 PM': 595, '4-7 PM': 2977, '7-10 PM': 1861}","{'seasonal': 1.3, 'weekday': 1.4, 'festival': 1.0, 'weather': 1.15, 'holiday': 1.0, 'growth': 1.01}"
2022-02-27,1,Somnath Temple,6889,100,high,Sunday,True,False,None,False,Sunny,28,Winter,"{'4-6 AM': 826, '6-9 AM': -342, '9-12 PM': 1377, '12-4 PM': 551, '4-7 PM': 2755, '7-10 PM': 1722}","{'seasonal': 1.3, 'weekday': 1.4, 'festival': 1.0, 'weather': 1.0, 'holiday': 1.0, 'growth': 1.01}"
2022-02-28,1,Somnath Temple,6429,100,high,Monday,False,False,None,False,Sunny,34,Winter,"{'4-6 AM': 771, '6-9 AM': -319, '9-12 PM': 1285, '12-4 PM': 514, '4-7 PM': 2571, '7-10 PM': 1607}","{'seasonal': 1.3, 'weekday': 1.3, 'festival': 1.0, 'weather': 1.0, 'holiday': 1.0, 'growth': 1.01}"
2022-03-01,1,Somnath Temple,8017,100,high,Tuesday,False,False,Mahashivratri,True,Sunny,24,Summer,"{'4-6 AM': 962, '6-9 AM': -399, '9-12 PM': 1603, '12-4 PM': 641, '4-7 PM': 3206, '7-10 PM': 2004}","{'seasonal': 0.85, 'weekday': 0.85, 'festival': 3.0, 'weather': 1.0, 'holiday': 1.0, 'growth': 1.01}"
2022-03-02,1,Somnath Temple,2442,46,low,Wednesday,False,False,None,False,Cloudy,23,Summer,"{'4-6 AM': 293, '6-9 AM': -120, '9-12 PM': 488, '12-4 PM': 195, '4-7 PM': 976, '7-10 PM': 610}","{'seasonal': 0.85, 'weekday': 0.85, 'festival': 1.0, 'weather': 0.95, 'holiday': 1.0, 'growth': 1.01}"
2022-03-03,1,Somnath Temple,2636,50,moderate,Thursday,False,False,None,False,Partly Cloudy,27,Summer,"{'4-6 AM': 316, '6-9 AM': -130, '9-12 PM': 527, '12-4 PM': 210, '4-7 PM': 1054, '7-10 PM': 659}","{'seasonal': 0.85, 'weekday': 0.85, 'festival': 1.0, 'weather': 1.05, 'holiday': 1.0, 'growth': 1.01}"
2022-03-04,1,Somnath Temple,1695,32,low,Friday,False,False,None,False,Heavy Rain,21,Summer,"{'4-6 AM': 203, '6-9 AM': -83, '9-12 PM': 339, '12-4 PM': 135, '4-7 PM': 678, '7-10 PM': 423}","{'seasonal': 0.85, 'weekday': 1.2, 'festival': 1.0, 'weather': 0.5, 'holiday': 1.0, 'growth': 1.01}"
2022-03-05,1,Somnath Temple,4278,81,high,Saturday,True,False,None,False,Sunny,23,Summer,"{'4-6 AM': 513, '6-9 AM': -212, '9-12 PM': 855, '12-4 PM': 342, '4-7 PM': 1711, '7-10 PM': 1069}","{'seasonal': 0.85, 'weekday': 1.4, 'festival': 1.0, 'weather': 1.0, 'holiday': 1.0, 'growth': 1.01}"
2022-03-06,1,Somnath Temple,4503,85,high,Sunday,True,False,None,False,Partly Cloudy,27,Summer,"{'4-6 AM': 540, '6-9 AM': -223, '9-12 PM': 900, '12-4 PM': 360, '4-7 PM': 1801, '7-10 PM': 1125}","{'seasonal': 0.85, 'weekday': 1.4, 'festival': 1.0, 'weather': 1.05, 'holiday': 1.0, 'growth': 1.01}"
2022-03-07,1,Somnath Temple,4114,78,high,Monday,False,False,None,False,Partly Cloudy,27,Summer,"{'4-6 AM': 493, '6-9 AM': -203, '9-12 PM': 822, '12-4 PM': 329, '4-7 PM': 1645, '7-10 PM': 1028}","{'seasonal': 0.85, 'weekday': 1.3, 'festival': 1.0, 'weather': 1.05, 'holiday': 1.0, 'growth': 1.01}"
2022-03-08,1,Somnath Temple,2402,45,low,Tuesday,False,False,None,False,Sunny,35,Summer,"{'4-6 AM': 288, '6-9 AM': -118, '9-12 PM': 480, '12-4 PM': 192, '4-7 PM': 960, '7-10 PM': 600}","{'seasonal': 0.85, 'weekday': 0.85, 'festival': 1.0, 'weather': 1.0, 'holiday': 1.0, 'growth': 1.01}"
2022-03-09,1,Somnath Temple,2601,49,low,Wednesday,False,False,None,False,Partly Cloudy,24,Summer,"{'4-6 AM': 312, '6-9 AM': -129, '9-12 PM': 520, '12-4 PM': 208, '4-7 PM': 1040, '7-10 PM': 650}","{'seasonal': 0.85, 'weekday': 0.85, 'festival': 1.0, 'weather': 1.05, 'holiday': 1.0, 'growth': 1.01}"
2022-03-10,1,Somnath Temple,2327,44,low,Thursday,False,False,None,False,Cloudy,36,Summer,"{'4-6 AM': 279, '6-9 AM': -114, '9-12 PM': 465, '12-4 PM': 186, '4-7 PM': 930, '7-10 PM': 581}","{'seasonal': 0.85, 'weekday': 0.85, 'festival': 1.0, 'weather': 0.95, 'holiday': 1.0, 'growth': 1.01}"
2022-03-11,1,Somnath Temple,3736,71,moderate,Friday,False,False,None,False,Cloudy,20,Summer,"{'4-6 AM': 448, '6-9 AM': -185, '9-12 PM': 747, '12-4 PM': 298, '4-7 PM': 1494, '7-10 PM': 934}","{'seasonal': 0.85, 'weekday': 1.2, 'festival': 1.0, 'weather': 0.95, 'holiday': 1.0, 'growth': 1.02}"
2022-03-12,1,Somnath Temple,4048,77,high,Saturday,True,False,None,False,Sunny,32,Summer,"{'4-6 AM': 485, '6-9 AM': -200, '9-12 PM': 809, '12-4 PM': 323, '4-7 PM': 1619, '7-10 PM': 1012}","{'seasonal': 0.85, 'weekday': 1.4, 'festival': 1.0, 'weather': 1.0, 'holiday': 1.0, 'growth': 1.02}"
2022-03-13,1,Somnath Temple,3089,58,moderate,Sunday,True,False,None,False,Light Rain,23,Summer,"{'4-6 AM': 370, '6-9 AM': -152, '9-12 PM': 617, '12-4 PM': 247, '4-7 PM': 1235, '7-10 PM': 772}","{'seasonal': 0.85, 'weekday': 1.4, 'festival': 1.0, 'weather': 0.8, 'holiday': 1.0, 'growth': 1.02}"
2022-03-14,1,Somnath Temple,3766,71,moderate,Monday,False,False,None,False,Cloudy,25,Summer,"{'4-6 AM': 451, '6-9 AM': -186, '9-12 PM': 753, '12-4 PM': 301, '4-7 PM': 1506, '7-10 PM': 941}","{'seasonal': 0.85, 'weekday': 1.3, 'festival': 1.0, 'weather': 0.95, 'holiday': 1.0, 'growth': 1.02}"
